,State,Post_Full_Name,Latitude,Longitude
237,Turkey,U.S. Embassy Ankara,39.908225094332444,32.8539583150804
238,Turkey,U.S. Consulate General Istanbul,41.11749587928979,29.0443211154174
239,Turkey,U.S. Consulate Adana,36.98352556505883,35.3848218149961
240,Turkmenistan,U.S. Embassy Ashgabat,37.901274,58.389301
241,U.S. Mission to ASEAN,U.S. Mission to ASEAN,-6.180948006,106.8302514
242,U.S. Mission to International Organizations in Vienna,U.S. Mission to the International Organizations in Vienna,48.23492607,16.42088888
243,U.S. Mission to NATO,U.S. Mission to NATO,50.87853918,4.429497671
244,U.S. Mission to OSCE,U.S. Mission to the OSCE,48.23461777923129,16.418475315652383
245,U.S. Mission to the African Union,U.S. Mission to the African Union,9.07021415,38.76057375
246,U.S. Mission to the EU,U.S. Mission to the EU,50.84433472,4.367278043
247,U.S. Mission to the ICAO,U.S. Mission to the ICAO,45.4997256789988,-73.56562254934164
248,U.S. Mission to the OAS,U.S. Mission to the OAS,38.89443515472371,-77.05170868456409
249,U.S. Mission to the OECD,U.S. Mission to the OECD,48.86830080786213,2.314880050761391
250,U.S. Mission to the UN-Geneva,U.S. Mission-Geneva,46.23200668990151,6.135919716184857
251,U.S. Mission to the UN-Rome,U.S. Mission Rome,41.907876971529674,12.489735615141493
252,U.S. Mission to the United Nations,U.S. Mission to the United Nations,40.7506666,-73.9689023
253,Uganda,U.S. Embassy in Kampala,0.29909,32.59243
254,Ukraine,U.S. Embassy in Kyiv,50.465044,30.431957
255,United Arab Emirates,U.S. Embassy in Abu Dhabi,24.4764,054.3705
256,United Kingdom,Embassy of the United States of America,51.482433064228786,-0.13292556417568116
257,United Kingdom,U.S. Consulate General in Belfast,54.5705791,-5.9422437
258,United Kingdom,U.S. Consulate General in Edinburgh,55.954306900000006,-3.1778503
259,Uruguay,U.S. Embassy Montevideo,-34.91348698146105,-56.178309884825005
260,Uzbekistan,U.S. Embassy in Tashkent,41.36716520511031,69.27028705069027
261,Vietnam,U.S. Embassy in Hanoi,21.021506286002268,105.81668611410772
262,Vietnam,U.S. Consulate in Ho Chi Minh City,10.783177692316897,106.69824081393286
263,Yemen,U.S. Embassy in Sana’a,15.373056861749312,44.22766864987787
264,Venezuela,U.S. Embassy in Caracas,10.4961,-066.8983
265,Zambia,U.S. Embassy in Lusaka,-15.4145,028.2809
266,Zimbabwe,U.S. Embassy in Harare,-17.8227,031.0496
